video_id,titulo,data,visualizacoes,curtidas,comentarios,duracao,perfil
YsGx8S5Ppng,"Entregamos um novo Centro de Endoscopia do Hospital Otávio de Freitas, no Recife! 💜🚀",2026-01-23T19:41:19Z,7170,511,25,PT44S,raquel_lyra
44Bzrk_OId4,24 de dezembro de 2025,2025-12-25T01:06:44Z,11411,846,37,PT1M19S,raquel_lyra
4lz7HylOB2w,É PE na estrada em Igarassu 🛣️✅,2025-12-05T21:32:22Z,11128,541,24,PT1M,raquel_lyra
rius1WHBBdg,💜 Mais segurança pra Pernambuco!,2025-11-05T10:44:31Z,5550,205,8,PT12S,raquel_lyra
CHriMB7rEIE,3 de novembro de 2025,2025-11-03T22:24:10Z,3791,290,16,PT44S,raquel_lyra
ZP_yhhLlEvo,23 de outubro de 2025,2025-10-23T15:12:51Z,6439,348,27,PT32S,raquel_lyra
xrxUzcX3s2U,Orgulho de vestir Pernambuco 💙👖,2025-08-30T12:03:56Z,8708,471,31,PT48S,raquel_lyra
BlihIXUrsLo,✈️ Pernambuco e Governo Federal juntos pela infraestrutura aérea 🇧🇷 | Governadora Raquel Lyra,2025-07-11T18:57:50Z,12526,543,27,PT46S,raquel_lyra
MdIbElbPEl8,Mais casas chegando para quem mais precisa! 🏠💜,2025-06-08T14:28:18Z,7201,539,31,PT40S,raquel_lyra
SgpoMXa5iUw,Divulgando Pernambuco pra todo mundo! 🥰,2025-05-24T13:13:33Z,5758,439,22,PT1M18S,raquel_lyra
-NnwIBS8Tk0,Nova UTI pediátrica em Garanhuns!,2025-05-22T00:44:16Z,7646,491,32,PT1M22S,raquel_lyra
Li0254hihiU,"Com a gente, obra começa e termina! BR-104 em duplicação! | Governadora Raquel Lyra",2025-04-16T14:33:25Z,22290,1068,77,PT1M25S,raquel_lyra
XE7h4I6wsHg,TBT de puro carinho! Cecília não queria mais largar Tia Quel! 😍💜,2025-03-13T11:35:24Z,4964,488,30,PT53S,raquel_lyra
d6x0Z-j6aow,Água para nossa gente!🚿💜 | Governadora Raquel Lyra,2024-10-05T16:22:37Z,7675,1020,46,PT57S,raquel_lyra
dBAqnnNLxkA,Professores em ação | Governadora Raquel Lyra,2024-09-25T22:44:48Z,7733,677,39,PT43S,raquel_lyra
6uCk6_Mxlgg,Mistura cultura e fé de Pernambuco | Governadora Raquel Lyra,2024-08-02T10:39:57Z,8095,770,30,PT38S,raquel_lyra
A7sqWAiagqg,Emoção e muita fé na Missa de Nossa Senhora do Carmo! | Governadora Raquel Lyra,2024-07-17T00:26:18Z,8484,840,31,PT35S,raquel_lyra
0BY8b68TvXs,Começando a semana com pé direito | Governadora Raquel Lyra,2024-07-01T14:03:38Z,6746,985,36,PT23S,raquel_lyra
FAQGtRd086g,Cadê a família de Cristal? | Governadora Raquel Lyra,2024-06-16T13:17:47Z,7692,575,8,PT26S,raquel_lyra
cbGFojlJciA,Gravidez NÃO é problema! Espalha isso com a gente! | Governadora Raquel Lyra,2024-05-11T19:14:41Z,16362,1012,30,PT29S,raquel_lyra
i0_5q2a5mco,Meu primeiro boletim escolar foi esse | Governadora Raquel Lyra,2024-04-28T23:20:02Z,7197,619,15,PT1M1S,raquel_lyra
OQTU4aprW4o,"Democracia, ordem e respeito aos poderes são valores inegociáveis | Governadora Raquel Lyra",2023-01-10T00:52:46Z,12556,2167,86,PT43S,raquel_lyra
wIZyksrH2oM,Raquel Lyra 45 | Programa - #PGM11,2020-10-20T23:30:02Z,1300,69,5,PT2M40S,raquel_lyra
